,Company,Product,TypeName,Ram,Weight,Price_euros,IPS,ppi,Cpu Brand,SSD,HDD,Gpu Brand,OS
0,Apple,MacBook Pro,Ultrabook,8,1.37,1339.69,1,226.98300468106115,Intel Core i5,128,0,Intel,Mac
1,Apple,Macbook Air,Ultrabook,8,1.34,898.94,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
2,HP,250 G6,Notebook,8,1.86,575.0,0,141.21199808219862,Intel Core i5,256,0,Intel,Others/No OS/Linux
3,Apple,MacBook Pro,Ultrabook,16,1.83,2537.45,1,220.53462386625827,Intel Core i7,512,0,AMD,Mac
4,Apple,MacBook Pro,Ultrabook,8,1.37,1803.6,1,226.98300468106115,Intel Core i5,256,0,Intel,Mac
5,Acer,Aspire 3,Notebook,4,2.1,400.0,0,100.45466986113651,AMD Processor,0,500,AMD,Windows
6,Apple,MacBook Pro,Ultrabook,16,2.04,2139.97,1,220.53462386625827,Intel Core i7,0,0,Intel,Mac
7,Apple,Macbook Air,Ultrabook,8,1.34,1158.7,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
8,Asus,ZenBook UX430UN,Ultrabook,16,1.3,1495.0,0,157.3505121487356,Intel Core i7,512,0,Nvidia,Windows
9,Acer,Swift 3,Ultrabook,8,1.6,770.0,1,157.3505121487356,Intel Core i5,256,0,Intel,Windows
10,HP,250 G6,Notebook,4,1.86,393.9,0,100.45466986113651,Intel Core i5,0,500,Intel,Others/No OS/Linux
11,HP,250 G6,Notebook,4,1.86,344.99,0,141.21199808219862,Intel Core i3,0,500,Intel,Others/No OS/Linux
12,Apple,MacBook Pro,Ultrabook,16,1.83,2439.97,1,220.53462386625827,Intel Core i7,256,0,AMD,Mac
13,Dell,Inspiron 3567,Notebook,4,2.2,498.9,0,141.21199808219862,Intel Core i3,256,0,AMD,Windows
14,Apple,"MacBook 12""",Ultrabook,8,0.92,1262.4,1,226.41554716935852,Other Intel Processor,256,0,Intel,Mac
15,Apple,MacBook Pro,Ultrabook,8,1.37,1518.55,1,226.98300468106115,Intel Core i5,256,0,Intel,Mac
16,Dell,Inspiron 3567,Notebook,8,2.2,745.0,0,141.21199808219862,Intel Core i7,256,0,AMD,Windows
17,Apple,MacBook Pro,Ultrabook,16,1.83,2858.0,1,220.53462386625827,Intel Core i7,512,0,AMD,Mac
18,Lenovo,IdeaPad 320-15IKB,Notebook,8,2.2,499.0,0,141.21199808219862,Intel Core i3,0,1024,Nvidia,Others/No OS/Linux
19,Dell,XPS 13,Ultrabook,8,1.22,979.0,1,165.6321180513006,Intel Core i5,128,0,Intel,Windows
20,Asus,Vivobook E200HA,Netbook,2,0.98,191.9,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows
21,Lenovo,Legion Y520-15IKBN,Gaming,8,2.5,999.0,1,141.21199808219862,Intel Core i5,128,1024,Nvidia,Windows
22,HP,255 G6,Notebook,4,1.86,258.0,0,100.45466986113651,AMD Processor,0,500,AMD,Others/No OS/Linux
23,Dell,Inspiron 5379,2 in 1 Convertible,8,1.62,819.0,0,165.6321180513006,Intel Core i5,256,0,Intel,Windows
24,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,8,1.91,659.0,0,141.21199808219862,Intel Core i7,256,0,Intel,Windows
25,Dell,Inspiron 3567,Notebook,4,2.3,418.64,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
26,Apple,MacBook Air,Ultrabook,8,1.35,1099.0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
27,Dell,Inspiron 5570,Notebook,8,2.2,800.0,0,141.21199808219862,Intel Core i5,256,0,AMD,Windows
28,Dell,Latitude 5590,Ultrabook,8,1.88,1298.0,0,141.21199808219862,Intel Core i7,256,0,Intel,Windows
29,HP,ProBook 470,Notebook,8,2.5,896.0,0,127.33567457123111,Intel Core i5,0,1024,Nvidia,Windows
30,Chuwi,"LapBook 15.6""",Notebook,4,1.89,244.99,0,141.21199808219862,Other Intel Processor,0,0,Intel,Windows
31,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,2,1.65,199.0,0,111.93520355955211,AMD Processor,0,0,AMD,Windows
32,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,4,2.71,439.0,0,127.33567457123111,AMD Processor,0,500,AMD,Windows
33,Dell,XPS 13,Ultrabook,16,1.2,1869.0,0,276.053530085501,Intel Core i7,512,0,Intel,Windows
34,Apple,MacBook Air,Ultrabook,8,1.35,998.0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
35,Lenovo,IdeaPad 120S-14IAP,Notebook,4,1.44,249.0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows
36,Acer,Aspire 3,Notebook,4,2.1,367.0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Others/No OS/Linux
37,Dell,Inspiron 5770,Notebook,8,2.8,979.0,1,127.33567457123111,Intel Core i5,128,1024,AMD,Windows
38,HP,250 G6,Notebook,4,1.86,488.69,0,100.45466986113651,Intel Core i5,0,1024,Intel,Windows
39,HP,ProBook 450,Notebook,8,2.1,879.0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,Windows
40,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,4,2.0,389.0,0,141.21199808219862,Intel Core i3,0,1024,Intel,Others/No OS/Linux
